keyword,topic,category
거래단위,<<KEYWORD>>,Stock
거래량,<<KEYWORD>>,Stock
거래량 이동 평균 (volume moving average) (volume moving average),<<KEYWORD>>,Stock
거래량 회전률(turnover ratio) (turnover ratio),<<KEYWORD>>,Stock
거래량비율(volume ratio) (volume ratio),<<KEYWORD>>,Stock
거래량위험  (volume risk) (volume risk),<<KEYWORD>>,Stock
거래량지표,<<KEYWORD>>,Stock
거래원,<<KEYWORD>>,Stock
거래원 등록제도,<<KEYWORD>>,Stock
거액여신총한도제,<<KEYWORD>>,Stock
건설가계정,<<KEYWORD>>,Stock
게임이론(game theory) (game theory),<<KEYWORD>>,Stock
결산   (closing anaccount) (closing anaccount),<<KEYWORD>>,Stock
결산시세,<<KEYWORD>>,Stock
결손금(deficit) (deficit),<<KEYWORD>>,Stock
결제,<<KEYWORD>>,Stock
결제가격 (clearing price) (clearing price),<<KEYWORD>>,Stock
결제기관 (clearing house) (clearing house),<<KEYWORD>>,Stock
결제수수료  (clearing commission) (clearing commission),<<KEYWORD>>,Stock
결제월간 스프레드거래  (calendar spread trading) (calendar spread trading),<<KEYWORD>>,Stock
결제은행(clearing bank) (clearing bank),<<KEYWORD>>,Stock
결제지수  (settlement index) (settlement index),<<KEYWORD>>,Stock
결제회원  (clearing member) (clearing member),<<KEYWORD>>,Stock
겸업주의(universal banking system) (universal banking system),<<KEYWORD>>,Stock
경기선행지수,<<KEYWORD>>,Stock
경기순환(trade cycle),<<KEYWORD>>,Stock
경기예고지표(WI; business warning indications),<<KEYWORD>>,Stock
경기종합지수(composite index) (composite index),<<KEYWORD>>,Stock
경상거래(current transactions) (current transactions),<<KEYWORD>>,Stock
경상수지 비율,<<KEYWORD>>,Stock
경상이익,<<KEYWORD>>,Stock
경영분석(business analysis) (business analysis),<<KEYWORD>>,Stock
경영위험 (business risk) (business risk),<<KEYWORD>>,Stock
경영지표(management index) (management index),<<KEYWORD>>,Stock
"경쟁매매(competitive bidding, auction) (competitive bidding, auction)",<<KEYWORD>>,Stock
경쟁입찰인수(underwriting by competitive bidding) (underwriting by competitive bidding),<<KEYWORD>>,Stock
경제적 위험(economical risk) (economical risk),<<KEYWORD>>,Stock
계속성의 원칙(principle of consistency) (principle of consistency),<<KEYWORD>>,Stock
계약형 투자신탁,<<KEYWORD>>,Stock
계정결제인 (accountee) (accountee),<<KEYWORD>>,Stock
계좌대체(book-keeping entry) (book-keeping entry),<<KEYWORD>>,Stock
계좌이체(transfer account) (transfer account),<<KEYWORD>>,Stock
계좌통합관리서비스,<<KEYWORD>>,Stock
고객예탁금,<<KEYWORD>>,Stock
고객예탁금 반환준비금,<<KEYWORD>>,Stock
고객예탁금 이용료,<<KEYWORD>>,Stock
고객예탁증권,<<KEYWORD>>,Stock
고금리정책(higher interest policy) (higher interest policy),<<KEYWORD>>,Stock
고용보험제(employment insurance) (employment insurance),<<KEYWORD>>,Stock
고정부채(fixed liability) (fixed liability),<<KEYWORD>>,Stock
고정비(fixed cost) (fixed cost),<<KEYWORD>>,Stock
고정자산 구성비율(fixed asset ratio) (fixed asset ratio),<<KEYWORD>>,Stock
고정주(pegged stock) (pegged stock),<<KEYWORD>>,Stock
고정환율제도(fixed exchange rate system)   (fixed exchange rate system),<<KEYWORD>>,Stock
고지의무(duty of disclosure) (duty of disclosure),<<KEYWORD>>,Stock
공개매입제도,<<KEYWORD>>,Stock
공개시장조작(open market operation) (open market operation),<<KEYWORD>>,Stock
공개주,<<KEYWORD>>,Stock
공개호가,<<KEYWORD>>,Stock
공동결제일거래,<<KEYWORD>>,Stock
공동행위 제한,<<KEYWORD>>,Stock
공매(Margin buying),<<KEYWORD>>,Stock
공매(Short sale) (Short sale),<<KEYWORD>>,Stock
공매비율,<<KEYWORD>>,Stock
공모,<<KEYWORD>>,Stock
"공모주 청약, 배정",<<KEYWORD>>,Stock
공모증자(capital increase by public offering) (capital increase by public offering),<<KEYWORD>>,Stock
공사채,<<KEYWORD>>,Stock
공사채형 투자신탁,<<KEYWORD>>,Stock
공시최고(public summon) (public summon),<<KEYWORD>>,Stock
공적결제수지 (official settlement balance) (official settlement balance),<<KEYWORD>>,Stock
"공정할인율(official discount rate, rediscount rate) (official discount rate, rediscount rate)",<<KEYWORD>>,Stock
공제(fraternal insurance) (fraternal insurance),<<KEYWORD>>,Stock
관리보수(management fee) (management fee),<<KEYWORD>>,Stock
관리종목,<<KEYWORD>>,Stock
관망세(wait-and-see attitude) (wait-and-see attitude),<<KEYWORD>>,Stock
교환사채(exchangeable bond) (exchangeable bond),<<KEYWORD>>,Stock
구매력평가설(theory of purchasing power parity) (theory of purchasing power parity),<<KEYWORD>>,Stock
구상권,<<KEYWORD>>,Stock
구조조정펀드(structural regulation fund) (structural regulation fund ),<<KEYWORD>>,Stock
국가위험(country risk) (country risk),<<KEYWORD>>,Stock
국내신용(domestic credit) (domestic credit),<<KEYWORD>>,Stock
국내총생산,<<KEYWORD>>,Stock
국내총생산증가율,<<KEYWORD>>,Stock
국제 팩토링(International factoring) (International factoring),<<KEYWORD>>,Stock
국제결제은행(BIS) 규제,<<KEYWORD>>,Stock
국제결제은행(BIS) 비율,<<KEYWORD>>,Stock
국제결제은행(BIS; Bank for international Settlements) (BIS; Bank for international Settlements),<<KEYWORD>>,Stock
국제수지(balance of payments) (balance of payments),<<KEYWORD>>,Stock
국제유동성(international liquidity) (international liquidity ),<<KEYWORD>>,Stock
국제투자신탁,<<KEYWORD>>,Stock
국제회계기준(IAS; international accounting standards) (IAS; international accounting standards),<<KEYWORD>>,Stock
권리공탁,<<KEYWORD>>,Stock
권리락,<<KEYWORD>>,Stock
권리부,<<KEYWORD>>,Stock
권리행사가격,<<KEYWORD>>,Stock
권리행사결제가격,<<KEYWORD>>,Stock
권종,<<KEYWORD>>,Stock
그린 메일(green mail) (green mail),<<KEYWORD>>,Stock
근저당(fixed collateral) (fixed collateral),<<KEYWORD>>,Stock
금리스왑(interest term coupon swap) (interest term coupon swap),<<KEYWORD>>,Stock
금리평가설(interest rate parity theory) (interest rate parity theory),<<KEYWORD>>,Stock
금융 하이웨이(financial highway) (financial highway),<<KEYWORD>>,Stock
금융비용부담률,<<KEYWORD>>,Stock
금융선물거래(financial future trading) (financial future trading),<<KEYWORD>>,Stock
금융소득종합과세,<<KEYWORD>>,Stock
금융수지,<<KEYWORD>>,Stock
금융연관비율(financila interrelations ratio) (financila interrelations ratio),<<KEYWORD>>,Stock
금융자산투자(portfolio investment) (portfolio investment ),<<KEYWORD>>,Stock
금융장세,<<KEYWORD>>,Stock
금융전업가,<<KEYWORD>>,Stock
금융중개기관(financial intermediary) (financial intermediary),<<KEYWORD>>,Stock
금융채,<<KEYWORD>>,Stock
금융채권(financial bond) (financial bond),<<KEYWORD>>,Stock
금전신탁,<<KEYWORD>>,Stock
기간산업(key industry) (key industry),<<KEYWORD>>,Stock
기관경고,<<KEYWORD>>,Stock
기금형투자신탁,<<KEYWORD>>,Stock
기명식 장기저리채권,<<KEYWORD>>,Stock
기본적 분석,<<KEYWORD>>,Stock
기술적 분석(technical analysis) (technical analysis),<<KEYWORD>>,Stock
기업결합(business coalition) (business coalition),<<KEYWORD>>,Stock
기업공개(going public) (going public),<<KEYWORD>>,Stock
기업공시(disclousure) (disclousure),<<KEYWORD>>,Stock
기업설명활동(IR) (IR),<<KEYWORD>>,Stock
기업실사지수(BSI; business survey index) (BSI; business survey index),<<KEYWORD>>,Stock
기업어음(CP) (CP),<<KEYWORD>>,Stock
기업연금(corporate pension plan) (corporate pension plan),<<KEYWORD>>,Stock
기업의 총현금흐름 (total cash flow of the firm ),<<KEYWORD>>,Stock
기업회계기준(business accounting standards) (business accounting standards),<<KEYWORD>>,Stock
기준가격,<<KEYWORD>>,Stock
기타 자본거래의 증여의제,<<KEYWORD>>,Stock
기한이익상실,<<KEYWORD>>,Stock
기회비용(opportunity cost) (opportunity cost),<<KEYWORD>>,Stock
깃대형(flag formation) (flag formation),<<KEYWORD>>,Stock
꺾기,<<KEYWORD>>,Stock
나우계정(negotiable order of withdrawal accounts ; Now accounts) (negotiable order of withdrawal accounts ; Now accounts),<<KEYWORD>>,Stock
낙성계약,<<KEYWORD>>,Stock
납세담보,<<KEYWORD>>,Stock
납입기일,<<KEYWORD>>,Stock
납입유예기간,<<KEYWORD>>,Stock
납입자본이익률 (return on paid-in capital) (return on paid-in capital),<<KEYWORD>>,Stock
납회 (the final session of the year) (the final session of the year),<<KEYWORD>>,Stock
내가격,<<KEYWORD>>,Stock
내국민대우 (national treatment) (national treatment),<<KEYWORD>>,Stock
내국신용장 (local L/C)  (local L/C),<<KEYWORD>>,Stock
내국환 (domestic exchange) (domestic exchange),<<KEYWORD>>,Stock
"내로 마켓(narrow market, thin market) (narrow market, thin market)",<<KEYWORD>>,Stock
내부감사 (internal audit)  (internal audit),<<KEYWORD>>,Stock
내부금융 (internal financing)  (internal financing),<<KEYWORD>>,Stock
내부수익률법 (internal rate of return method)  (internal rate of return method),<<KEYWORD>>,Stock
내부요인 (internal factor)  (internal factor),<<KEYWORD>>,Stock
내부유보 (retained earnings)  (retained earnings),<<KEYWORD>>,Stock
내부자 거래,<<KEYWORD>>,Stock
내부자거래제재법 (the Inside Trading Sanctions Act ; ITSA)  (the Inside Trading Sanctions Act ; ITSA),<<KEYWORD>>,Stock
내외금리차,<<KEYWORD>>,Stock
내용년수 (durable years)  (durable years),<<KEYWORD>>,Stock
내재가치 (intrinsic value)  (intrinsic value),<<KEYWORD>>,Stock
내재변동성,<<KEYWORD>>,Stock
네거티브 리스트(negative list)  (negative list),<<KEYWORD>>,Stock
네고(nego;negotiation) (nego;negotiation),<<KEYWORD>>,Stock
네이키드 옵션(naked option)   (naked option),<<KEYWORD>>,Stock
네이키드 포지션(naked position)  (naked position),<<KEYWORD>>,Stock
네팅(netting)  (netting),<<KEYWORD>>,Stock
노 마진(no margin) (no margin),<<KEYWORD>>,Stock
노동 3 법·노동 3 권,<<KEYWORD>>,Stock
노동생산성(labor productivity) (labor productivity),<<KEYWORD>>,Stock
노동생산성지수(labor productivity index)   (labor productivity index),<<KEYWORD>>,Stock
노동소득분배율,<<KEYWORD>>,Stock
노동장비율(laber equipment ratio)   (laber equipment ratio),<<KEYWORD>>,Stock
노동집약도,<<KEYWORD>>,Stock
노령인구지수,<<KEYWORD>>,Stock
노로드 펀드(no-load fund)   (no-load fund),<<KEYWORD>>,Stock
노마진 변동금리채(no margin FRN)   (no margin FRN),<<KEYWORD>>,Stock
논뱅크 딜러(Non Bank Dealer)   (Non Bank Dealer),<<KEYWORD>>,Stock
농산물가격지지제도(farm-price-support system)   (farm-price-support system),<<KEYWORD>>,Stock
농지세,<<KEYWORD>>,Stock
뇌동매매,<<KEYWORD>>,Stock
누적적 우선주(cumulative preferred stock)   (cumulative preferred stock),<<KEYWORD>>,Stock
누적적·참가적 우선주(cumulative participating preferred stock)   (cumulative participating preferred stock),<<KEYWORD>>,Stock
누적채무의주식화(debt-equityswap) 　  (debt-equityswap),<<KEYWORD>>,Stock
누적투자(accumulative investment)   (accumulative investment),<<KEYWORD>>,Stock
누진세(progressive tax)   (progressive tax),<<KEYWORD>>,Stock
뉴메레르(numeraire)   (numeraire),<<KEYWORD>>,Stock
뉴욕금융시장,<<KEYWORD>>,Stock
뉴욕선물거래소(New York Futures Exchange)   (New York Futures Exchange),<<KEYWORD>>,Stock
뉴욕연방자금시장(federal fund market)   (federal fund market),<<KEYWORD>>,Stock
뉴욕증권거래소(NewYork Stock Exchange ; NYSE)   (NewYork Stock Exchange ; NYSE),<<KEYWORD>>,Stock
니치 마케팅(niche marketing) (niche marketing),<<KEYWORD>>,Stock
니치 시장전략(niche market strategy) (niche market strategy),<<KEYWORD>>,Stock
니케이 평균주가지수(Nikkei Stock Average Index)   (Nikkei Stock Average Index),<<KEYWORD>>,Stock
다국적기업(multinational firm)   (multinational firm),<<KEYWORD>>,Stock
다국적은행(multinational bank)   (multinational bank),<<KEYWORD>>,Stock
다우 공업주 30 종 평균(Dow Jones Industrial Average ;  DJIA)   (Dow Jones Industrial Average ;  DJIA),<<KEYWORD>>,Stock
다우 이론,<<KEYWORD>>,Stock
다우 존스 주가평균(The Dow Jones Average) 　  (The Dow Jones Average),<<KEYWORD>>,Stock
다우이론(Dow theory)   (Dow theory),<<KEYWORD>>,Stock
다이렉트 어음(direct paper)   (direct paper),<<KEYWORD>>,Stock
다중머리어깨모형(multipleheadand shoulder patterns)   (multipleheadand shoulder patterns),<<KEYWORD>>,Stock
다지수모형(multi-index model)   (multipleheadand shoulder patterns),<<KEYWORD>>,Stock
단기 예측,<<KEYWORD>>,Stock
단기금융시장 헤지(money market hedge),<<KEYWORD>>,Stock
단기금융시장(money market) (money market),<<KEYWORD>>,Stock
단기매매전략,<<KEYWORD>>,Stock
단기면세기금(short-term tax-exempt funds ; STEF)   (short-term tax-exempt funds ; STEF),<<KEYWORD>>,Stock
단기무역신용,<<KEYWORD>>,Stock
단기채(short-term bond)   (short-term bond),<<KEYWORD>>,Stock
단기투자자(day-to-day trader)   (day-to-day trader),<<KEYWORD>>,Stock
단리법(simple interest method) 　  (simple interest method),<<KEYWORD>>,Stock
단명어음(single name paper)   (single name paper),<<KEYWORD>>,Stock
단순 주가평균,<<KEYWORD>>,Stock
단순송금방식수출,<<KEYWORD>>,Stock
단순주가지수(simple price index)   (simple price index),<<KEYWORD>>,Stock
단순주가평균(simple arithmetical stock price average) 　  (simple arithmetical stock price average),<<KEYWORD>>,Stock
단순통화스왑(straight currency swap)   (straight currency swap),<<KEYWORD>>,Stock
단순평균배당수익률,<<KEYWORD>>,Stock
단순헤지(naive hedge)   (naive hedge),<<KEYWORD>>,Stock
단위형 투자신탁,<<KEYWORD>>,Stock
단위형 투자신탁(unit type investment trust)   (unit type investment trust),<<KEYWORD>>,Stock
단일은행제도(unit banking system) (unit banking system),<<KEYWORD>>,Stock
단일지수모형(single index model)   (single index model),<<KEYWORD>>,Stock
단자회사(short-term investment finance company)   (short-term investment finance company),<<KEYWORD>>,Stock
단주(odd lot)   (odd lot),<<KEYWORD>>,Stock
단축가능채권(retractable bond)   (retractable bond),<<KEYWORD>>,Stock
달러위기(dollar crisis)   (dollar crisis),<<KEYWORD>>,Stock
달러평균법(dollar cost averaging)   (dollar cost averaging),<<KEYWORD>>,Stock
담보 콜제도,<<KEYWORD>>,Stock
담보권설정(real rights granted by way of security) (real rights granted by way of security),<<KEYWORD>>,Stock
담보보증의무 면제특약,<<KEYWORD>>,Stock
담보부사채(mortgage bond)   (mortgage bond),<<KEYWORD>>,Stock
담보부사채신탁(mortgage bond trust)   (mortgage bond trust),<<KEYWORD>>,Stock
담보유가증권(collateral securities)  (collateral securities),<<KEYWORD>>,Stock
담보유가증권(collateral securities)  (collateral securities),<<KEYWORD>>,Stock
담보유지비율(maintenance requirement rate of collateral)   (maintenance requirement rate of collateral),<<KEYWORD>>,Stock
담보저당채권(mortgage-backed bond)   (mortgage-backed bond),<<KEYWORD>>,Stock
담보화 부정조항(negative pledge clause)   (negative pledge clause),<<KEYWORD>>,Stock
당기순손익(net income and loss for the year) 　  (net income and loss for the year),<<KEYWORD>>,Stock
당기실적주의,<<KEYWORD>>,Stock
당일결제거래(cash delivery)   (cash delivery),<<KEYWORD>>,Stock
당좌대월(overdrafts)   (overdrafts),<<KEYWORD>>,Stock
당좌대출,<<KEYWORD>>,Stock
당좌비율(quick ratio)   (quick ratio),<<KEYWORD>>,Stock
당좌예금(checking accounts)   (checking accounts),<<KEYWORD>>,Stock
당좌자산(quick assets)  (quick assets),<<KEYWORD>>,Stock
당좌차월(bank overdraft)   (bank overdraft),<<KEYWORD>>,Stock
대각 스프레드(diagonal spread)   (diagonal spread),<<KEYWORD>>,Stock
대고객환율(exchange quotation)   (exchange quotation),<<KEYWORD>>,Stock
대규모기업집단,<<KEYWORD>>,Stock
대량매매(block trading)   (block trading),<<KEYWORD>>,Stock
대량주식보유의보고(filingofchanges in ownership of block shares)   (filingofchanges in ownership of block shares),<<KEYWORD>>,Stock
대리수령,<<KEYWORD>>,Stock
대리인이론(agency theory)   (agency theory),<<KEYWORD>>,Stock
대부신탁,<<KEYWORD>>,Stock
대세(general trend)   (general trend),<<KEYWORD>>,Stock
대손상각(bad debts expense)   (bad debts expense),<<KEYWORD>>,Stock
대손충당금(allowance for bad debts)   (allowance for bad debts),<<KEYWORD>>,Stock
대여금고,<<KEYWORD>>,Stock
대외균형(external equilibrium)   (external equilibrium),<<KEYWORD>>,Stock
대외준비자산(external reserves)   (external reserves),<<KEYWORD>>,Stock
대외증권투자(investment to foreign securities)  (investment to foreign securities),<<KEYWORD>>,Stock
대용 가격,<<KEYWORD>>,Stock
대용 증권,<<KEYWORD>>,Stock
대용가,<<KEYWORD>>,Stock
대용가격(substitute price of securities)   (substitute price of securities),<<KEYWORD>>,Stock
대용베타(proxy beta)   (proxy beta),<<KEYWORD>>,Stock
대용증권(substitute securities)   (substitute securities),<<KEYWORD>>,Stock
대위증권(securities in subrogation)   (securities in subrogation),<<KEYWORD>>,Stock
"대주(stock loan, lending stock)   (stock loan, lending stock)",<<KEYWORD>>,Stock
대주매각대금(amount of short selling)   (amount of short selling),<<KEYWORD>>,Stock
대주시장(stock loan market)   (stock loan market),<<KEYWORD>>,Stock
"대주잔고(debt balance, outstanding loan)   (debt balance, outstanding loan)",<<KEYWORD>>,Stock
대주주(controlling shareholders)   (controlling shareholders),<<KEYWORD>>,Stock
대차 비율,<<KEYWORD>>,Stock
대차거래(loan transaction)   (loan transaction),<<KEYWORD>>,Stock
대차대조표(balance sheet;B/S)   (balance sheet;B/S),<<KEYWORD>>,Stock
대체결제제도,<<KEYWORD>>,Stock
대체결제제도(book entry clearing)   (book entry clearing),<<KEYWORD>>,Stock
대출채권담보부증권 (CLO ),<<KEYWORD>>,Stock
대출포트폴리오(lending portfolio) (lending portfolio),<<KEYWORD>>,Stock
대출한도제(loan ceiling system) (loan ceiling system),<<KEYWORD>>,Stock
대형주,<<KEYWORD>>,Stock
델타,<<KEYWORD>>,Stock
도덕적 위험(moral hazard) (moral hazard),<<KEYWORD>>,Stock
도매금융(wholesale banking) (wholesale banking),<<KEYWORD>>,Stock
동시 호가,<<KEYWORD>>,Stock
동시호가(simultaneous bids and offers) (simultaneous bids and offers),<<KEYWORD>>,Stock
동증주가지수(TOPIX; Tokyo stock index exchange price index) (TOPIX; Tokyo stock index exchange price index),<<KEYWORD>>,Stock
동태비율(dynamic financial ratio) (dynamic financial ratio),<<KEYWORD>>,Stock
듀얼펀드,<<KEYWORD>>,Stock
등가격,<<KEYWORD>>,Stock
등록법인(registered corporation) (registered corporation),<<KEYWORD>>,Stock
디노미네이션(denomination) (denomination),<<KEYWORD>>,Stock
디프 디스카운트채(deep discount bond) (deep discount bond),<<KEYWORD>>,Stock
디플레이션(deflation) (deflation),<<KEYWORD>>,Stock
딜러 론(dealer loan) (dealer loan),<<KEYWORD>>,Stock
딜러 시장(dealer markets) (dealer markets),<<KEYWORD>>,Stock
라스파이레스식(Laspeyres formula)   (Laspeyres formula),<<KEYWORD>>,Stock
라이어빌리티 스왑(liability swap)  (liability swap),<<KEYWORD>>,Stock
람다,<<KEYWORD>>,Stock
래퍼곡선(Laffer curve) (Laffer curve),<<KEYWORD>>,Stock
랜덤 워크 이론,<<KEYWORD>>,Stock
랩 어카운트 (Wrap Account) (Wrap Account),<<KEYWORD>>,Stock
러셀 2000지수,<<KEYWORD>>,Stock
런던국제금융선물거래소(LIFFE : London International Financial Futures Exchange) (LIFFE : London International Financial Futures Exchange),<<KEYWORD>>,Stock
런던증권거래소(London Stock Exchange) (London Stock Exchange),<<KEYWORD>>,Stock
런던클럽,<<KEYWORD>>,Stock
레귤러 웨이(regular way) (regular way),<<KEYWORD>>,Stock
레귤레이션,<<KEYWORD>>,Stock
레드칩,<<KEYWORD>>,Stock
레버리지,<<KEYWORD>>,Stock
레버리지 효과(leverage effect) (leverage effect),<<KEYWORD>>,Stock
레이팅,<<KEYWORD>>,Stock
롤링효과(rolling effect) (rolling effect),<<KEYWORD>>,Stock
롤오버(Roll Over) ((Roll Over)),<<KEYWORD>>,Stock
롱 포지션(long position) (long position),<<KEYWORD>>,Stock
리드 앤 랙(leads and lags) (leads and lags),<<KEYWORD>>,Stock
리딩 뱅크(leading bank) (leading bank),<<KEYWORD>>,Stock
리보 금리  (LIBOR rate; London inter-bank offered rate) (LIBOR rate; London inter-bank offered rate),<<KEYWORD>>,Stock
리스 산업(lease industry) (lease industry),<<KEYWORD>>,Stock
리스케쥴링(rescheduling) (rescheduling),<<KEYWORD>>,Stock
리츠(Reits-Real Estate Investment Trust) (Reits-Real Estate Investment Trust),<<KEYWORD>>,Stock
리파이낸스(refinance) (refinance),<<KEYWORD>>,Stock
리플레이션(reflation) (reflation),<<KEYWORD>>,Stock
마이그레이션 (migra-tion),<<KEYWORD>>,Stock
마진 머니(margin money) (margin money),<<KEYWORD>>,Stock
마진 콜(margin call) (margin cal),<<KEYWORD>>,Stock
마진거래(margin transaction) (margin transaction),<<KEYWORD>>,Stock
만기보유전략(buy and hold strategy) (buy and hold strategy),<<KEYWORD>>,Stock
만기수익률(yield to maturity) (yield to maturity),<<KEYWORD>>,Stock
만기전 소구,<<KEYWORD>>,Stock
매도 초과 포지션(oversold position) (oversold position),<<KEYWORD>>,Stock
"매도 헤징(selling hedging, short selling) (selling hedging, short selling)",<<KEYWORD>>,Stock
매매거래 중단,<<KEYWORD>>,Stock
매매손실 준비금,<<KEYWORD>>,Stock
매매심리(surveillance on the market) (surveillance on the market),<<KEYWORD>>,Stock
매입 초과 포지션(overbought position) (overbought position),<<KEYWORD>>,Stock
매입 헤징(long hedging) (long hedging),<<KEYWORD>>,Stock
매입보유전략(buy and hold strategy) (buy and hold strategy),<<KEYWORD>>,Stock
매출채권 담보대출(account receivable loan) (account receivable loan),<<KEYWORD>>,Stock
매칭(matching) (matching),<<KEYWORD>>,Stock
매크로펀드(macro fund) (macro fund),<<KEYWORD>>,Stock
맨데이트 레터(mandate letter) (mandate letter),<<KEYWORD>>,Stock
머천트 뱅크(merchant bank) (merchant bank),<<KEYWORD>>,Stock
메릴린치,<<KEYWORD>>,Stock
메이저(major) (major),<<KEYWORD>>,Stock
면세형 투자신탁,<<KEYWORD>>,Stock
명령상장(listing by order) (listing by order),<<KEYWORD>>,Stock
명목수익률(nominal return) (nominal return ),<<KEYWORD>>,Stock
명의개서 대행업무(transfer agence service) (transfer agence service),<<KEYWORD>>,Stock
명의개서(transfer of stocks) (transfer of stocks),<<KEYWORD>>,Stock
명의개서정지(closing of the register of shareholder) (closing of the register of shareholder),<<KEYWORD>>,Stock
명의신탁,<<KEYWORD>>,Stock
모기지 증권(mortgage) (mortgage),<<KEYWORD>>,Stock
모라토리엄(moratorium) (moratorium),<<KEYWORD>>,Stock
모자형 투자신탁(family fund) (family fund),<<KEYWORD>>,Stock
모집설립,<<KEYWORD>>,Stock
모험기업(ventures) (ventures),<<KEYWORD>>,Stock
무기명 사채,<<KEYWORD>>,Stock
무기명주식(bearer stock) (bearer stock),<<KEYWORD>>,Stock
무담보 사채,<<KEYWORD>>,Stock
무보증사채(non-granted bond) (non-granted bond),<<KEYWORD>>,Stock
무상주의 교부,<<KEYWORD>>,Stock
무상증자,<<KEYWORD>>,Stock
무액면주,<<KEYWORD>>,Stock
무역수지(balance of trade) (balance of trade),<<KEYWORD>>,Stock
무역어음(trade bill) (trade bill),<<KEYWORD>>,Stock
무역외수지,<<KEYWORD>>,Stock
무역지수,<<KEYWORD>>,Stock
무위험수익률,<<KEYWORD>>,Stock
무위험이자율(risk free rate) (risk free rate),<<KEYWORD>>,Stock
무의결결권주,<<KEYWORD>>,Stock
무이표사채(zero-coupon bond) (zero-coupon bond),<<KEYWORD>>,Stock
물타기(scale trading) (scale trading),<<KEYWORD>>,Stock
뮤추얼 펀드,<<KEYWORD>>,Stock
미결제약정,<<KEYWORD>>,Stock
미상환 융자금,<<KEYWORD>>,Stock
미수금,<<KEYWORD>>,Stock
미스매치(mismatch) (mismatch),<<KEYWORD>>,Stock
미실현이익(unrealized profit) (unrealized profit),<<KEYWORD>>,Stock
미지급 배당금(unpaid dividend) (unpaid dividend),<<KEYWORD>>,Stock
미청산 계약,<<KEYWORD>>,Stock
민간수출금융공사(Private Export　Funding Corporation) (Private Export　Funding Corporation),<<KEYWORD>>,Stock
바벨형 만기전략(barbell maturity) (barbell maturity),<<KEYWORD>>,Stock
바스켓거래,<<KEYWORD>>,Stock
박스 이론(box theory) (box theory),<<KEYWORD>>,Stock
반기 보고서,<<KEYWORD>>,Stock
반대매매(covering) (covering),<<KEYWORD>>,Stock
반등,<<KEYWORD>>,Stock
반락(set back) (set back),<<KEYWORD>>,Stock
발기설립(incorporation by promoting) (incorporation by promoting),<<KEYWORD>>,Stock
발행 조건,<<KEYWORD>>,Stock
발행시장,<<KEYWORD>>,Stock
발행일결제거래(when-issued transaction) (when-issued transaction),<<KEYWORD>>,Stock
배당,<<KEYWORD>>,Stock
배당 수익률,<<KEYWORD>>,Stock
배당가능이익(profit available for dividend) (profit available for dividend),<<KEYWORD>>,Stock
배당금 보상률(dividend coverage) (dividend coverage),<<KEYWORD>>,Stock
배당락,<<KEYWORD>>,Stock
배당률,<<KEYWORD>>,Stock
